uf_busca,cidade_busca,universidade_nome,campus_nome,nome,grau,turno,mensalidade,bolsa_integral_cotas,bolsa_integral_ampla,bolsa_parcial_cotas,bolsa_parcial_ampla,nota_integral_ampla,nota_integral_cotas,nota_parcial_ampla,nota_parcial_cotas
SP,Sao Jose dos Campos,Universidade do Vale do Paraíba - UNIVAP,SÃO JOSÉ DOS CAMPOS (SEDE) - Urbanova,Engenharia Ambiental e Sanitária,Bacharelado,Noturno,1498.00,1,3,,2,620.98,554.48,623.20,
SP,Sao Jose dos Campos,Faculdade de Tecnologia de São José dos Campos - ETEP,ETEP ESPLANADA - Jardim Esplanada,Engenharia Automotiva,Bacharelado,Noturno,1159.00,1,2,,,627.32,596.28,,
SP,Sao Jose dos Campos,Universidade do Vale do Paraíba - UNIVAP,SÃO JOSÉ DOS CAMPOS (SEDE) - Urbanova,Engenharia Biomédica,Bacharelado,Matutino,1498.00,,,,4,,,607.28,
SP,Sao Jose dos Campos,Universidade do Vale do Paraíba - UNIVAP,SÃO JOSÉ DOS CAMPOS (SEDE) - Urbanova,Engenharia Biomédica,Bacharelado,Noturno,1498.00,1,3,,2,654.96,628.64,651.08,
SP,Sao Jose dos Campos,Faculdade Anhangüera de São José,UNIDADE SEDE - Bairro Comprido,Engenharia Civil,Bacharelado,Noturno,1178.00,7,13,,,593.18,561.64,,
SP,Sao Jose dos Campos,Universidade Anhanguera - UNIDERP,SAO JOSE DOS CAMPOS/SP (24105) - Colônia Paraíso,Engenharia Civil,Bacharelado,Curso a Distância,539.00,1,2,,,601.86,575.06,,
SP,Sao Jose dos Campos,Universidade do Vale do Paraíba - UNIVAP,SÃO JOSÉ DOS CAMPOS (SEDE) - Urbanova,Engenharia Civil,Bacharelado,Matutino,1498.00,1,1,,,651.32,615.62,,
SP,Sao Jose dos Campos,Universidade do Vale do Paraíba - UNIVAP,SÃO JOSÉ DOS CAMPOS (SEDE) - Urbanova,Engenharia Civil,Bacharelado,Noturno,1498.00,,,,4,,,629.70,
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS - Jardim Limoeiro,Engenharia Civil,Bacharelado,Noturno,1242.60,2,3,,,636.68,619.38,,
SP,Sao Jose dos Campos,Faculdade de Tecnologia Ibta - São José dos Campos - IBTA,CENTRO - Centro,Engenharia da Computação,Bacharelado,Noturno,629.00,1,3,,,613.86,583.50,,
SP,Sao Jose dos Campos,Universidade do Vale do Paraíba - UNIVAP,SÃO JOSÉ DOS CAMPOS (SEDE) - Urbanova,Engenharia da Computação,Bacharelado,Matutino,1498.00,0,1,,2,698.96,,601.96,
SP,Sao Jose dos Campos,Universidade do Vale do Paraíba - UNIVAP,SÃO JOSÉ DOS CAMPOS (SEDE) - Urbanova,Engenharia da Computação,Bacharelado,Noturno,1498.00,0,1,,2,661.80,,586.10,
SP,Sao Jose dos Campos,Faculdade de Tecnologia de São José dos Campos - ETEP,ETEP ESPLANADA - Jardim Esplanada,Engenharia de Computação,Bacharelado,Noturno,1159.00,1,1,,,642.26,610.46,,
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS - Jardim Limoeiro,Engenharia de Computação,Bacharelado,Noturno,1242.60,3,5,,,619.88,606.54,,
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS - Jardim Limoeiro,Engenharia de Computação,Bacharelado,Matutino,1080.24,1,2,,,633.24,623.54,,
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS - Jardim Limoeiro,Engenharia de Controle e Automação,Bacharelado,Matutino,1080.24,0,1,,,653.90,,,
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS - Jardim Limoeiro,Engenharia de Petróleo,Bacharelado,Noturno,1242.60,1,2,,,602.80,571.38,,
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS - Jardim Limoeiro,Engenharia de Petróleo,Bacharelado,Matutino,1080.24,1,2,,,606.42,599.22,,
SP,Sao Jose dos Campos,Centro Universitário Internacional - Uninter - UNINTER,PAP SÃO JOSÉ DOS CAMPOS (ITS) - Vila Adyana,Engenharia de Produção,Bacharelado,Curso a Distância,505.00,,,,1,,,569.22,
SP,Sao Jose dos Campos,Faculdade de Tecnologia de São José dos Campos - ETEP,ETEP ESPLANADA - Jardim Esplanada,Engenharia de Produção,Bacharelado,Matutino,899.00,1,1,,,672.32,589.10,,
SP,Sao Jose dos Campos,Universidade Cidade de São Paulo - UNICID,EDUCARE APOIO TÉCNICO E PEDAGÓGICO LTDA ME (EDUCARE) - Vila Dayana,Engenharia de Produção,Bacharelado,Curso a Distância,439.79,1,1,1,3,589.14,593.84,556.16,450.00
SP,Sao Jose dos Campos,Universidade do Vale do Paraíba - UNIVAP,SÃO JOSÉ DOS CAMPOS (SEDE) - Urbanova,Engenharia de Produção,Bacharelado,Matutino,1498.00,1,1,,2,640.54,606.00,585.06,
SP,Sao Jose dos Campos,Universidade do Vale do Paraíba - UNIVAP,SÃO JOSÉ DOS CAMPOS (SEDE) - Urbanova,Engenharia de Produção,Bacharelado,Noturno,1498.00,1,3,,,638.86,631.38,,
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS - Jardim Limoeiro,Engenharia de Produção Mecânica,Bacharelado,Noturno,1242.60,3,5,,,614.94,589.62,,
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS - Jardim Limoeiro,Engenharia de Produção Mecânica,Bacharelado,Matutino,1080.24,1,2,,,607.50,503.16,,
SP,Sao Jose dos Campos,Centro Universitário Internacional - Uninter - UNINTER,PAP SÃO JOSÉ DOS CAMPOS (ITS) - Vila Adyana,Engenharia Elétrica,Bacharelado,Curso a Distância,659.00,,,,1,,,614.88,
SP,Sao Jose dos Campos,Universidade do Vale do Paraíba - UNIVAP,SÃO JOSÉ DOS CAMPOS (SEDE) - Urbanova,Engenharia Elétrica,Bacharelado,Matutino,1498.00,0,1,,,630.36,,,
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS - Jardim Limoeiro,Engenharia Elétrica,Bacharelado,Noturno,1242.60,1,1,,,646.10,639.78,,
SP,Sao Jose dos Campos,Faculdade Anhangüera de São José,UNIDADE SEDE - Bairro Comprido,Engenharia Mecânica,Bacharelado,Noturno,1038.00,2,4,,,602.16,583.30,,
SP,Sao Jose dos Campos,Faculdade Anhangüera de São José,UNIDADE SEDE - Bairro Comprido,Engenharia Mecânica,Bacharelado,Matutino,948.00,1,2,,,592.80,592.30,,
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS - Jardim Limoeiro,Engenharia Mecânica,Bacharelado,Noturno,1242.60,3,5,,,623.10,622.36,,
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS - Jardim Limoeiro,Engenharia Mecânica,Bacharelado,Matutino,1080.24,1,2,,,630.90,603.34,,
SP,Sao Jose dos Campos,Universidade do Vale do Paraíba - UNIVAP,SÃO JOSÉ DOS CAMPOS (SEDE) - Urbanova,Engenharia Química,Bacharelado,Matutino,1498.00,0,1,,,681.36,,,
SP,Sao Jose dos Campos,Universidade do Vale do Paraíba - UNIVAP,SÃO JOSÉ DOS CAMPOS (SEDE) - Urbanova,Engenharia Química,Bacharelado,Noturno,1498.00,2,5,,,649.36,621.92,,
SP,Sao Jose dos Campos,Universidade do Vale do Paraíba - UNIVAP,SÃO JOSÉ DOS CAMPOS (SEDE) - Urbanova,Estética,Bacharelado,Matutino,723.00,0,1,,2,645.44,,587.02,
SP,Sao Jose dos Campos,Faculdade Anhangüera de São José,UNIDADE SEDE - Bairro Comprido,Farmácia,Bacharelado,Noturno,908.00,2,5,,,589.56,542.58,,
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS - Jardim Limoeiro,Farmácia,Bacharelado,Noturno,1242.60,0,1,,,610.08,,,
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS - Jardim Limoeiro,Farmácia,Bacharelado,Matutino,1080.24,1,2,,,627.28,587.76,,
SP,Sao Jose dos Campos,Centro Universitário Claretiano - Ceuclar - CEUCLAR,POLO CLARETIANO DE SÃO JOSÉ DOS CAMPOS - Jardim Esplanada,Filosofia,Licenciatura,Curso a Distância,299.00,1,1,,,529.64,581.12,,
SP,Sao Jose dos Campos,Centro Universitário Claretiano - Ceuclar - CEUCLAR,POLO CLARETIANO DE SÃO JOSÉ DOS CAMPOS - Jardim Esplanada,Filosofia,Bacharelado,Curso a Distância,299.00,0,1,,,616.12,,,
SP,Sao Jose dos Campos,Centro Universitário Internacional - Uninter - UNINTER,PAP SÃO JOSÉ DOS CAMPOS (ITS) - Vila Adyana,Filosofia,Licenciatura,Curso a Distância,237.00,0,1,,,581.54,,,
SP,Sao Jose dos Campos,Universidade Cidade de São Paulo - UNICID,EDUCARE APOIO TÉCNICO E PEDAGÓGICO LTDA ME (EDUCARE) - Vila Dayana,Filosofia,Licenciatura,Curso a Distância,257.19,,,,1,,,510.18,
SP,Sao Jose dos Campos,Universidade Cidade de São Paulo - UNICID,EDUCARE APOIO TÉCNICO E PEDAGÓGICO LTDA ME (EDUCARE) - Vila Dayana,Física,Licenciatura,Curso a Distância,235.73,,,,1,,,602.36,
SP,Sao Jose dos Campos,Faculdade Anhangüera de São José,UNIDADE SEDE - Bairro Comprido,Fisioterapia,Bacharelado,Noturno,1128.00,1,3,,,593.54,552.76,,
SP,Sao Jose dos Campos,Faculdade Anhangüera de São José,UNIDADE SEDE - Bairro Comprido,Fisioterapia,Bacharelado,Matutino,918.00,3,7,,,585.32,555.10,,
SP,Sao Jose dos Campos,Universidade do Vale do Paraíba - UNIVAP,SÃO JOSÉ DOS CAMPOS (SEDE) - Urbanova,Fisioterapia,Bacharelado,Matutino,1344.00,0,1,,3,657.22,,599.38,
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS - Jardim Limoeiro,Fisioterapia,Bacharelado,Noturno,1242.60,1,3,,,641.50,594.76,,
SP,Sao Jose dos Campos,Universidade Cidade de São Paulo - UNICID,EDUCARE APOIO TÉCNICO E PEDAGÓGICO LTDA ME (EDUCARE) - Vila Dayana,Gastronomia,Tecnológico,Curso a Distância,439.79,,,,1,,,615.88,
SP,Sao Jose dos Campos,Universidade do Vale do Paraíba - UNIVAP,SÃO JOSÉ DOS CAMPOS (SEDE) - Urbanova,Gastronomia,Tecnológico,Noturno,1561.00,1,2,,2,639.42,564.90,598.82,
SP,Sao Jose dos Campos,Centro Universitário Claretiano - Ceuclar - CEUCLAR,POLO CLARETIANO DE SÃO JOSÉ DOS CAMPOS - Jardim Esplanada,Geografia,Licenciatura,Curso a Distância,299.00,0,1,,,509.54,,,
SP,Sao Jose dos Campos,Centro Universitário Internacional - Uninter - UNINTER,PAP SÃO JOSÉ DOS CAMPOS (ITS) - Vila Adyana,Geografia,Licenciatura,Curso a Distância,237.00,,,,1,,,450.00,
SP,Sao Jose dos Campos,Universidade do Vale do Paraíba - UNIVAP,SÃO JOSÉ DOS CAMPOS (SEDE) - Urbanova,Geografia,Licenciatura,Noturno,990.00,0,1,,,609.54,,,
SP,Sao Jose dos Campos,Centro Universitário Internacional - Uninter - UNINTER,PAP SÃO JOSÉ DOS CAMPOS (ITS) - Vila Adyana,Gestão Ambiental,Tecnológico,Curso a Distância,278.00,,,,1,,,450.00,
SP,Sao Jose dos Campos,Universidade Cidade de São Paulo - UNICID,EDUCARE APOIO TÉCNICO E PEDAGÓGICO LTDA ME (EDUCARE) - Vila Dayana,Gestão Ambiental,Tecnológico,Curso a Distância,257.19,0,1,,,567.18,,,
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS - Jardim Limoeiro,Gestão Ambiental,Tecnológico,Curso a Distância,299.00,0,1,,,586.22,,,
SP,Sao Jose dos Campos,Centro Universitário Internacional - Uninter - UNINTER,SÃO JOSÉ DOS CAMPOS (ITS) - SP - Vila Betânia,Gestão Comercial,Tecnológico,Curso a Distância,265.00,0,1,1,1,577.72,,588.04,450.00
SP,Sao Jose dos Campos,Universidade Anhanguera - UNIDERP,SAO JOSE DOS CAMPOS/SP (24105) - Colônia Paraíso,Gestão Comercial,Tecnológico,Curso a Distância,219.00,1,2,,,540.40,450.00,,
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS II - Jardim Serimbura,Gestão Comercial,Tecnológico,Curso a Distância,149.00,0,1,,,563.86,,,
SP,Sao Jose dos Campos,Centro Universitário Internacional - Uninter - UNINTER,SÃO JOSÉ DOS CAMPOS (ITS) - SP - Vila Betânia,Gestão da Produção Industrial,Tecnológico,Curso a Distância,278.00,0,1,1,3,531.54,,549.02,542.12
SP,Sao Jose dos Campos,Faculdade de Tecnologia de São José dos Campos - ETEP,ETEP ESPLANADA - Jardim Esplanada,Gestão da Produção Industrial,Tecnológico,Noturno,519.00,1,1,,,550.40,552.42,,
SP,Sao Jose dos Campos,Faculdade de Tecnologia de São José dos Campos - ETEP,ETEP ESPLANADA - Jardim Esplanada,Gestão da Produção Industrial,Tecnológico,Matutino,399.00,1,3,,,503.40,450.00,,
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS - Jardim Limoeiro,Gestão da Qualidade,Tecnológico,Matutino,484.92,1,2,,,585.48,495.42,,
SP,Sao Jose dos Campos,Centro Universitário Internacional - Uninter - UNINTER,PAP SÃO JOSÉ DOS CAMPOS (ITS) - Vila Adyana,Gestão da Tecnologia da Informação,Tecnológico,Curso a Distância,274.00,,,,1,,,577.04,
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS II - Jardim Serimbura,Gestão da Tecnologia da Informação,Tecnológico,Curso a Distância,309.00,0,1,,,540.04,,,
SP,Sao Jose dos Campos,Centro Universitário Claretiano - Ceuclar - CEUCLAR,POLO CLARETIANO DE SÃO JOSÉ DOS CAMPOS - Jardim Esplanada,Gestão de Recursos Humanos,Tecnológico,Curso a Distância,299.00,0,1,,,610.60,,,
SP,Sao Jose dos Campos,Centro Universitário Internacional - Uninter - UNINTER,PAP SÃO JOSÉ DOS CAMPOS (ITS) - Vila Adyana,Gestão de Recursos Humanos,Tecnológico,Curso a Distância,278.00,,,,1,,,519.12,
SP,Sao Jose dos Campos,Faculdade Anhangüera de São José,UNIDADE SEDE - Bairro Comprido,Gestão de Recursos Humanos,Tecnológico,Noturno,558.00,2,3,,,549.48,565.82,,
SP,Sao Jose dos Campos,Faculdade de Tecnologia de São José dos Campos - ETEP,CENTRO DE GESTÃO E NEGÓCIOS - ETEP FACULDADES - Jardim Satélite,Gestão de Recursos Humanos,Tecnológico,Noturno,529.00,0,1,,,604.84,,,
SP,Sao Jose dos Campos,Faculdade de Tecnologia de São José dos Campos - ETEP,CENTRO DE GESTÃO E NEGÓCIOS - ETEP FACULDADES - Jardim Satélite,Gestão de Recursos Humanos,Tecnológico,Matutino,399.00,1,1,,,662.22,544.54,,
SP,Sao Jose dos Campos,Faculdade de Tecnologia Ibta - São José dos Campos - IBTA,CENTRO - Centro,Gestão de Recursos Humanos,Tecnológico,Noturno,549.00,1,1,,,576.56,519.02,,
SP,Sao Jose dos Campos,Universidade Anhanguera - UNIDERP,SAO JOSE DOS CAMPOS/SP (24105) - Colônia Paraíso,Gestão de Recursos Humanos,Tecnológico,Curso a Distância,219.00,2,3,,,528.06,504.14,,
SP,Sao Jose dos Campos,Universidade Cidade de São Paulo - UNICID,EDUCARE APOIO TÉCNICO E PEDAGÓGICO LTDA ME (EDUCARE) - Vila Dayana,Gestão de Recursos Humanos,Tecnológico,Curso a Distância,260.27,,,,1,,,600.90,
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS - Jardim Limoeiro,Gestão de Recursos Humanos,Tecnológico,Noturno,539.04,1,3,,,573.80,559.06,,
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS - Jardim Limoeiro,Gestão de Recursos Humanos,Tecnológico,Curso a Distância,299.00,0,1,,,588.36,,,
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS - Jardim Limoeiro,Gestão de Segurança Privada,Tecnológico,Matutino,484.92,1,2,,,511.16,517.36,,
SP,Sao Jose dos Campos,Centro Universitário Internacional - Uninter - UNINTER,PAP SÃO JOSÉ DOS CAMPOS (ITS) - Vila Adyana,Gestão de Serviços Jurídicos e Notariais,Tecnológico,Curso a Distância,248.00,0,1,,1,557.20,,560.08,
SP,Sao Jose dos Campos,Centro Universitário Internacional - Uninter - UNINTER,PAP SÃO JOSÉ DOS CAMPOS (ITS) - Vila Adyana,Gestão de Turismo,Tecnológico,Curso a Distância,249.00,0,1,,,547.20,,,
SP,Sao Jose dos Campos,Universidade Cidade de São Paulo - UNICID,EDUCARE APOIO TÉCNICO E PEDAGÓGICO LTDA ME (EDUCARE) - Vila Dayana,Gestão do Agronegócio,Tecnológico,Curso a Distância,257.19,,,,1,,,531.78,
SP,Sao Jose dos Campos,Centro Universitário Internacional - Uninter - UNINTER,SÃO JOSÉ DOS CAMPOS (ITS) - SP - Vila Betânia,Gestão Financeira,Tecnológico,Curso a Distância,278.00,0,1,1,1,559.50,,564.08,450.00
SP,Sao Jose dos Campos,Faculdade de Tecnologia de São José dos Campos - ETEP,CENTRO DE GESTÃO E NEGÓCIOS - ETEP FACULDADES - Jardim Satélite,Gestão Financeira,Tecnológico,Noturno,529.00,1,1,,,564.64,564.38,,
SP,Sao Jose dos Campos,Faculdade de Tecnologia de São José dos Campos - ETEP,CENTRO DE GESTÃO E NEGÓCIOS - ETEP FACULDADES - Jardim Satélite,Gestão Financeira,Tecnológico,Matutino,399.00,1,1,,,567.48,518.68,,
SP,Sao Jose dos Campos,Faculdade de Tecnologia Ibta - São José dos Campos - IBTA,CENTRO - Centro,Gestão Financeira,Tecnológico,Matutino,399.00,0,1,,,544.16,,,
SP,Sao Jose dos Campos,Universidade Cidade de São Paulo - UNICID,EDUCARE APOIO TÉCNICO E PEDAGÓGICO LTDA ME (EDUCARE) - Vila Dayana,Gestão Financeira,Tecnológico,Curso a Distância,260.27,0,1,,,546.36,,,
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS - Jardim Limoeiro,Gestão Financeira,Tecnológico,Noturno,539.04,1,2,,,564.70,581.72,,
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS - Jardim Limoeiro,Gestão Financeira,Tecnológico,Curso a Distância,279.00,0,1,,,544.04,,,
SP,Sao Jose dos Campos,Centro Universitário Internacional - Uninter - UNINTER,PAP SÃO JOSÉ DOS CAMPOS (ITS) - Vila Adyana,Gestão Hospitalar,Tecnológico,Curso a Distância,272.00,,,,1,,,542.18,
SP,Sao Jose dos Campos,Universidade Cidade de São Paulo - UNICID,EDUCARE APOIO TÉCNICO E PEDAGÓGICO LTDA ME (EDUCARE) - Vila Dayana,Gestão Hospitalar,Tecnológico,Curso a Distância,257.19,,,,1,,,584.14,
SP,Sao Jose dos Campos,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS - Jardim Limoeiro,Gestão Hospitalar,Tecnológico,Curso a Distância,299.00,0,1,,,531.74,,,
SP,Sao Jose dos Campos,Centro Universitário Internacional - Uninter - UNINTER,SÃO JOSÉ DOS CAMPOS (ITS) - SP - Vila Betânia,Gestão Pública,Tecnológico,Curso a Distância,279.00,0,1,1,1,559.54,,592.58,487.34
SP,Sao Jose dos Campos,Universidade Anhanguera - UNIDERP,SAO JOSE DOS CAMPOS/SP (24105) - Colônia Paraíso,Gestão Pública,Tecnológico,Curso a Distância,219.00,1,1,,,472.22,450.00,,
